reverse echo echo E N X I E	E E E I X N E
append echo R N U , D Y V	R N U U D Y V
prepend prepend shift X W B B , T Z F , X E J	X E J T Z F W B B X
copy prepend Q Y N W R , echo prepend copy U C I E K , copy copy U M F O E	U M F O E U C I E K K Q Y N W R
prepend echo reverse B D E I K , copy reverse prepend I M I O , append reverse reverse G A I R G , shift shift prepend reverse S O D Y , copy T E C C	O I M I E T S O D Y C C G R I A G K I E D B B
copy prepend append reverse F O P I , C A A C , prepend shift M J H , shift shift copy shift echo O N D O C	O C C O N D J H M I P O F C A A C
append copy reverse reverse reverse V B C G , O I C T O	G C B V O I C T O
reverse append M P S , W E T T H	H T T E W S P M
prepend prepend prepend G O R P , copy Y P X T , copy copy U F T O I , copy reverse reverse copy V U Z J	V U Z J U F T O I Y P X T G O R P
prepend echo reverse R O N Y Q , append echo append T E U J , U S J L R , reverse copy S S I H	T E U J U S J L R R H I S S Q Y N O R R
reverse reverse V C E	V C E
copy append shift echo P Z U T S , reverse I Q Z	Z U T S S P Z Q I
reverse echo reverse prepend I M V , C D X	C C D X I M V
reverse prepend shift echo A I E F , reverse reverse L Z O Z K	A F F E I K Z O Z L
prepend copy copy E N S Z F , copy echo copy E O K H	E O K H H E N S Z F
prepend reverse reverse reverse shift X D V T , append append reverse copy shift copy echo D C M W B , shift prepend shift copy Z E G U , shift Q A D P M , K Y Y O	D B B W M C D P M Q E G U Z A K Y Y O X T V D
reverse prepend R R O H , shift N F T	H O R R N T F
append prepend copy F S E J , K S D W A , shift shift copy M W K A C	K S D W A F S E J K A C M W
copy append shift reverse I H E N , echo copy append reverse A M O J , append copy B B K T , T L B G	E H I N J O M A B B K T T L B G G
append append reverse F M R V F , reverse echo S P N L J , append prepend T O B J J , M Y B I X , copy shift C S A C J	F V R M F J J L N P S M Y B I X T O B J J S A C J C
shift shift reverse H K V V W	V K H W V
copy copy reverse reverse shift append shift R F A P , echo A F U	A P R A F U U F
prepend prepend shift copy N X E Q V , echo copy V G W O , shift copy reverse K C C A W	A C C K W V G W O O X E Q V N
copy prepend X R Z R , copy reverse Z G J	J G Z X R Z R
copy prepend append append copy H L R Y , copy reverse C J S U O , B M J C I , T C D B C	T C D B C H L R Y O U S J C B M J C I
append Q N T O V , append echo I M I K D , D R G L C	Q N T O V I M I K D D D R G L C
reverse echo prepend C P E , I C B	E E P C B C I
prepend copy D L N J , copy O C X	O C X D L N J
append T S Q A Q , prepend echo W U Z B Z , Y Q Y Q S	T S Q A Q Y Q Y Q S W U Z B Z Z
echo append prepend copy P X E P , D I T Q L , G K M T	D I T Q L P X E P G K M T T
copy reverse echo S S F	F F S S
prepend shift E J O U , append J W G I Z , reverse T K R R D	J W G I Z D R R K T J O U E
echo echo echo append copy prepend shift T U M , echo echo echo V I O O M , reverse B W K V	V I O O M M M M U M T V K W B B B B
append prepend N N J B , B G B , X A L U P	B G B N N J B X A L U P
append shift reverse echo reverse G Q B E B , shift append copy C I S F , shift W U J A	G Q B E B G I S F U J A W C
shift H E K P I	E K P I H
echo prepend echo L X G W , shift shift X Z L T	L T X Z L X G W W W
append append copy F F H X , E U N , U C E	F F H X E U N U C E
reverse reverse copy append V G S F B , append T N X N X , F D R T	V G S F B T N X N X F D R T
reverse prepend copy X S G W D , prepend copy R W N Q , copy G B Z J	D W G S X Q N W R J Z B G
shift append shift append N F N B A , append X H T F , reverse O O Z B Z , P T H H	N B A X H T F Z B Z O O N P T H H F
echo reverse reverse shift prepend reverse reverse Y I U N I , append A X A D , I P W P	X A D I P W P Y I U N I A A
shift append echo A Q N M , prepend C D P P , append reverse I J D Z , I N V W D	Q N M M Z D J I I N V W D C D P P A
shift copy copy J L Y G	L Y G J
reverse copy prepend shift shift shift reverse shift V Z T R X , prepend reverse append J G I L C , echo echo O S Y H , G W W X V	R X V Z T J G I L C O S Y H H H V X W W G
shift reverse shift append M J R , copy S N J	J N S R J M
shift append shift S W Q , echo copy echo P B B M N	Q S P B B M N N N W
append prepend reverse shift echo copy B G Q E X , reverse N N Y C U , shift shift shift echo F A L Y N	U C Y N N B X X E Q G Y N N F A L
prepend prepend O A V I , reverse echo J D K J , O S B O Y	O S B O Y J J K D J O A V I
reverse reverse prepend V L M Y , Z P H I X	Z P H I X V L M Y
prepend shift echo copy append shift Q U I M Q , copy copy Z P J Y , reverse shift copy copy prepend shift echo Q F Y B M , B V Z R	B Q M M B Y F R Z V I M Q Q Z P J Y Y U
prepend shift shift reverse Y F E O I , C I L G D	C I L G D E F Y I O
reverse reverse Z X K O G	Z X K O G
shift echo echo prepend shift reverse reverse V F M G , copy copy E H A N B	H A N B F M G V V V E
prepend T U Q , copy reverse P F V L	L V F P T U Q
echo append reverse echo L X T V , Z N Y	V V T X L Z N Y Y
shift append prepend A O Q W C , M V T V , echo copy A B B X	V T V A O Q W C A B B X X M
echo echo Z Y G P D	Z Y G P D D D
copy prepend echo reverse reverse echo S W P I , copy copy shift copy J R B T	R B T J S W P I I I
shift prepend copy shift P W R R , echo C C H E	C H E E W R R P C
reverse shift append copy copy M G Z R S , echo V F M K A	M A A K M F V S R Z G
prepend copy copy prepend F S G T , B X R X , shift copy echo H M Q I V	M Q I V V H B X R X F S G T
append append shift echo N R R W , copy copy L O V C , reverse M K O Q	R R W W N L O V C Q O K M
append shift reverse O E U , echo I J D G P	E O U I J D G P P
prepend echo copy R K , S M I	S M I R K K
reverse copy append reverse shift echo R W S T Y , prepend shift M G U K V , X R S B A	M V K U G A B S R X W S T Y Y R
append append echo echo X Z F R Q , copy echo echo C W M C E , V K Z E	X Z F R Q Q Q C W M C E E E V K Z E
append copy H X L L , reverse prepend X K O V , reverse copy L N V	H X L L V O K X L N V
shift prepend copy echo T N L H , E V W	V W T N L H H E
reverse append C Y G L R , shift copy B V Y Y	B Y Y V R L G Y C
echo reverse copy append append reverse reverse T V E W , copy copy reverse K T P P , D R M I M	M I M R D K T P P W E V T T
shift reverse copy echo prepend J L N , D Z H H V	N L J V H H Z D N
prepend F V M P , echo reverse reverse reverse F I K C	C K I F F F V M P
prepend shift shift reverse copy X H R V , reverse echo prepend reverse reverse reverse Z Y X , append copy reverse D V E F , shift prepend J T R F H , append I Q E , C Y U Y	Z Z Y X I H F R T J Y U Y C E Q D V E F H X V R
prepend V G W K , copy reverse reverse E M I W W	E M I W W V G W K
echo append prepend copy M G X V D , T E I N W , shift N I G H H	T E I N W M G X V D I G H H N N
prepend append shift P T K C , R O O F K , echo reverse D L L A	A L L D D T K C P R O O F K
shift append reverse copy shift echo Z K S B L , echo copy prepend echo copy B W O , reverse U N T L	L L B S K L T N U B W O O O Z
shift prepend prepend copy Q I P , shift append N Z K D , copy C U C G X , shift prepend reverse copy reverse shift reverse G G E A , append echo reverse P Z Q , shift reverse shift K G G J T	P P T J G G K E G G A Q Z K D C U C G X N Q I P Z
echo reverse echo S B S F	F F S B S S
append shift shift copy append L C Q M , reverse O G G S L , reverse I I K	Q M L S G G O L C K I I
append copy X O N G Z , shift reverse B U D	X O N G Z U B D
prepend echo reverse append T E T L Y , B N V P M , prepend F C Y X Z , reverse P H T D	D T H P F C Y X Z M P V N B Y L T E T T
prepend shift append reverse O G P Y Y , shift echo V E P D P , echo prepend shift copy I E O T M , append R O Z O S , shift W X L H Z	R O Z O S X L H Z W E O T M I I Y P G O E P D P P V Y
shift prepend echo echo reverse shift prepend I K A U C , shift W N P K E , echo copy shift shift echo Z B V	V Z B B N C U A K I W E K P P P V
prepend A X V G K , prepend shift reverse shift I T C I , echo reverse U R L T	T L R U U I C T I A X V G K
copy copy copy K L Q L Z	K L Q L Z
prepend S W Y , copy shift W W C K	W C K W S W Y
copy append R H Y , U E G	R H Y U E G
append copy shift M Z X U W , echo echo O U H T S	Z X U W M O U H T S S S
prepend prepend R H V I O , shift N Q N P G , echo echo P R O M B	P R O M B B B Q N P G N R H V I O
append shift copy V C H V S , copy reverse L O D I S	C H V S V S I D O L
append reverse copy append reverse M E K H , shift copy shift U V R W L , prepend echo reverse U O A C , reverse reverse echo prepend copy W T M Z , P S D G K	V U L W R M E K H P S D G K W T M Z Z C A O U U
prepend append V P P , P G K , prepend P Q N X , copy shift shift shift K B C P	P K B C P Q N X V P P P G K
copy prepend shift echo M Q T S Z , copy prepend copy shift D R G E , copy copy O X J J R	O X J J R R G E D Q T S Z Z M
append H L E , shift X J C	H L E J C X
copy append echo echo U V A I , echo Z E Y I	U V A I I I Z E Y I I
copy append copy prepend F J S V S , E K T B Q , shift prepend shift D X K J , W N F Q I	E K T B Q F J S V S N F Q I X K J D W
prepend prepend shift reverse copy S D I G N , shift reverse shift echo append I Z R P F , Q Y J B , echo copy copy copy echo A C G B I	A C G B I I I B B J Y Q F P R Z I G I D S N
append copy copy X K U O A , shift copy append Y R D Z , append reverse echo X D P M X , copy reverse append shift B K O C , reverse Z A H B	X K U O A R D Z X X M P D X Z A H B B C O K Y
append reverse shift X Y L I V , echo append Y Z D G E , U M X G K	X V I L Y Y Z D G E U M X G K K
append append shift copy shift T S V , shift copy shift append O G S , C G Q , reverse reverse N P P O	V T S S C G Q O G N P P O
append append Z C K Z Z , echo reverse reverse shift N J G , reverse shift U T E G	Z C K Z Z J G N N U G E T
reverse append Z G W J V , reverse U F T X N	U F T X N V J W G Z
copy prepend prepend copy O B L O Q , T F T , reverse copy D G X	X G D T F T O B L O Q
echo reverse reverse C J F Z B	C J F Z B B
reverse prepend prepend shift copy reverse O B W M N , copy R F I K P , T J V I A	N O B W M P K I F R A I V J T
append echo prepend copy C H F B R , prepend U E B T , D A K N , copy echo echo reverse A U G E X	D A K N U E B T C H F B R R X E G U A A A
append append reverse reverse copy J Z D P , copy echo B H F , reverse C I Q G	J Z D P B H F F G Q I C
echo append prepend A R E , shift copy R W X O Q , copy F A B	W X O Q R A R E F A B B
echo append reverse shift H F J B , shift H E M Q	H B J F E M Q H H
shift shift reverse A Z M	A M Z
copy reverse prepend reverse copy A V U L U , D C E	A V U L U E C D
append echo copy reverse A Z L Z F , shift shift shift echo echo copy F G R X T	F Z L Z A A X T T T F G R
reverse reverse N H V Q T	N H V Q T
copy shift C P R C W	P R C W C
append reverse reverse reverse shift M A M , echo append copy L L O U K , shift U P H U X	M M A L L O U K P H U X U U
reverse copy G S U A	A U S G
append append prepend reverse shift S N N T Z , E I D Q , shift reverse Z D Y , shift shift shift append shift reverse N Q F V X , Z I S E X	E I D Q S Z T N N D Z Y N X Z I S E X V F Q
copy copy copy P I S C R	P I S C R
append reverse echo reverse F Y T K D , prepend shift Q W Q Z , echo reverse reverse shift shift copy T I Y J R	F F Y T K D Y J R T I I W Q Z Q
echo reverse copy shift H E W J	H J W E E
prepend shift reverse copy shift E C I , shift copy copy shift echo C D K K	K K K C D I C E
append append copy K O B , copy reverse echo L W U L , M N S C A	K O B L L U W L M N S C A
append copy echo W L B S F , prepend shift shift echo G D E V , copy K O I S S	W L B S F F K O I S S E V V G D
reverse append copy N H B P , S Z F	F Z S P B H N
reverse prepend shift T N E , reverse X H S	T E N X H S
prepend J P P , reverse echo copy X R B Z I	I I Z B R X J P P
append copy copy echo S O M N , prepend reverse shift K Y Y H X , echo copy J A J H	S O M N N J A J H H K X H Y Y
append echo append G F T U U , append S K E T , shift N P Z J , S M T N S	G F T U U S K E T P Z J N N S M T N S
append echo U C A , prepend D L M C , E I B S	U C A A E I B S D L M C
shift echo copy Q O K X F	O K X F F Q
append append append J J Y U P , L G T D J , reverse reverse L J A M I , prepend prepend copy V W F J N , T G C D R , L Z F L I	J J Y U P L G T D J L J A M I L Z F L I T G C D R V W F J N
shift append echo reverse G Z F E , copy V M D I P	F Z G G V M D I P E
append reverse shift S S E A , reverse T T N D	S A E S D N T T
prepend echo copy echo S Y Z W C , reverse echo echo F A O V B	B B B V O A F S Y Z W C C C
copy copy append U N G P , Y E I	U N G P Y E I
append H Y K A D , reverse echo V M W Y C	H Y K A D C C Y W M V
shift append append Z K R P , echo reverse Z X K Q L , F G G J Y	K R P L Q K X Z Z F G G J Y Z
reverse prepend copy copy prepend echo append T M Z T , reverse L Q A B X , N Y Q B V , append reverse reverse copy shift shift J K Q C , copy shift reverse reverse N A L K	L L Q A B X T Z M T V B Q Y N N K L A K J C Q
shift G P Y O	P Y O G
reverse shift G V C O L	G L O C V
append echo prepend L X Y S T , prepend shift shift G C M E D , copy shift W E R O , reverse shift prepend shift copy Y X R J , copy echo D A I R E	E R O W M E D G C L X Y S T T D Y J R X E E R I A
prepend shift copy Z I S , reverse echo A O P R L	L L R P O A I S Z
prepend append shift N O F M , reverse C K K , copy M T T K M	M T T K M O F M N K K C
append reverse reverse echo echo V P C A , echo reverse copy S Q A C S	V P C A A A S C A Q S S
echo append prepend reverse J S Z T L , reverse shift W U Q A D , N W A S R	W D A Q U L T Z S J N W A S R R
copy prepend prepend reverse copy G W I E , prepend reverse E W B L , D Z I H , shift shift A S F G	F G A S D Z I H L B W E E I W G
copy copy prepend F K J V , X T N	X T N F K J V
append copy append echo Q E D , shift copy reverse M F J F , reverse shift reverse U B E	Q E D D J F M F E U B
prepend copy append reverse L N G A , reverse R W J C L , copy shift reverse M Q B Y X	Y B Q M X A G N L L C J W R
prepend prepend S N D G , copy I B G H G , shift P R R D G	R R D G P I B G H G S N D G
prepend shift Z S V , copy reverse V L W	W L V S V Z
reverse append echo S L I , Z X S Q	Q S X Z I I L S
prepend reverse Z A E T U , shift P T S O R	T S O R P U T E A Z
append echo echo echo A R Z L O , append reverse O S G M D , shift reverse T S Y A	A R Z L O O O O D M G S O Y S T A
prepend echo copy copy D O S F Q , append D P P O J , append reverse copy F A U I L , copy prepend shift A G Q A H , L N X U X	D P P O J L I U A F L N X U X G Q A H A D O S F Q Q
prepend shift copy copy D R N K U , echo copy copy shift G D W G	D W G G G R N K U D
prepend shift prepend F O P X H , O U J R , reverse F W S V	V S W F U J R F O P X H O
echo copy copy R X B F N	R X B F N N
append echo reverse O P N , echo Q Q Y V D	N P O O Q Q Y V D D
copy append echo echo prepend X X L , reverse A K R , copy shift reverse reverse E J K C	R K A X X L L L J K C E
reverse append reverse reverse prepend reverse Z X Q R , shift V N L N , copy C M J P T	T P J M C Z X Q R V N L N
append R L F , shift N U A	R L F U A N
shift T P O S	P O S T
reverse prepend echo W O W U Y , append shift R J E W , shift U Z Z S	Y Y U W O W U S Z Z R W E J
append prepend G W Y O , copy U B R H L , P A X Q R	U B R H L G W Y O P A X Q R
echo reverse prepend Q U X E E , Z L W N	E E X U Q N W L Z Z
append reverse shift reverse copy copy R V L R X , append reverse G M G D T , shift echo A H B P	X R V L R T D G M G H B P P A
append reverse B L D M Q , append shift prepend echo reverse X S P C K , copy shift A S K O , shift copy copy N O A D L	Q M D L B K O A K C P S X X S O A D L N
append shift S O U Z , H A J J	O U Z S H A J J
copy reverse V K L I S	S I L K V
prepend K F L I , reverse reverse G K G	G K G K F L I
append copy copy Q Z J , Z X Y Z P	Q Z J Z X Y Z P
shift shift append copy L U U A Z , reverse K D H	U A Z H D K L U
append prepend shift copy reverse S T U P , copy reverse T C V W , reverse shift reverse copy F D L B B	W V C T U T S P B F D L B
append copy copy V P D M , S P T C	V P D M S P T C
prepend T N J , echo echo R O D T J	R O D T J J J T N J
copy append U R D H , copy prepend B I V U K , K H E F	U R D H K H E F B I V U K
reverse append L O K , copy X Z Z O	O Z Z X K O L
prepend reverse copy copy Y M S N , copy copy prepend shift A M I C , reverse Y D I I	I I D Y M I C A N S M Y
echo reverse F O	O F F
copy append F M S F , V A H	F M S F V A H
shift echo echo Q C G U X	C G U X X X Q
shift shift append U O W , B X X H	W B X X H U O
prepend copy copy reverse shift echo append W F B B , copy K K N K W , shift echo R U L	U L L R W W W K N K K B B F
prepend shift reverse shift copy W H E P M , reverse copy copy Q A F Y	Y F A Q M P E H W
copy copy append echo S D X Z , copy V H I U	S D X Z Z V H I U
append copy copy shift prepend reverse shift T A T R , append shift Q X B Y , reverse N W K , echo J R Y Y	B Y Q K W N T R T A X J R Y Y Y
append echo copy copy reverse echo P O L K , prepend reverse prepend O A Q C R , K O P B J , copy echo append copy L S C U N , P Y U U G	K K L O P P L S C U N P Y U U G G R C Q A O J B P O K
copy prepend prepend reverse prepend copy reverse Y K Y W , echo copy X A A O K , S T L H , copy echo P I B L	P I B L L S T L H Y K Y W K K O A A X
prepend shift copy echo R C B , copy copy reverse B P S U	U S P B C B B R
copy append reverse reverse copy prepend Y D F Y N , shift B C A O , append echo echo copy echo echo K V Z K V , K J H H S	C A O B Y D F Y N K V Z K V V V V V K J H H S
copy prepend X X Y , shift M G Z V	G Z V M X X Y
reverse append copy E F E , reverse Z Q D	Z Q D E F E
copy shift append copy copy echo S I B V E , append echo F B D L , reverse V Q Z N	I B V E E F B D L L N Z Q V S
echo prepend echo copy R D M , reverse reverse reverse shift J N	J N R D M M M
append copy copy L K I V P , append echo prepend M J P R , F N Q A Q , reverse reverse F N N B	L K I V P F N Q A Q M J P R R F N N B
shift echo K C L J	C L J J K
reverse echo copy J R C D K	K K D C R J
reverse prepend U R K J Z , shift Q E F X H	Z J K R U Q H X F E
echo reverse C O Z B B	B B Z O C C
append H F K , reverse B D O O B	H F K B O O D B
echo reverse echo G T Q V I	I I V Q T G G
shift shift P Y P	P P Y
reverse copy A J D I	I D J A
append shift prepend reverse reverse copy reverse L L S I , copy shift reverse prepend C G W D Q , O H F K , prepend shift reverse E H K Q D , J M E N P	W G C K F H O Q I S L L D J M E N P Q K H E D
append copy K I J U P , echo append append append L U R F U , Z G I Q , reverse append reverse E C P D P , O C N T W , R L T P	K I J U P L U R F U Z G I Q W T N C O E C P D P R L T P P
shift append copy shift U I R , echo U A N N G	R U U A N N G G I
append shift echo reverse shift reverse reverse D C M E , shift copy reverse X F D Q F	E M C C D Q D F X F
shift append shift shift F X B P , echo echo J G K X W	P F X J G K X W W W B
prepend E N R , reverse X B R	R B X E N R
append append echo copy Q P S J M , append J O M Q , shift P P Y F R , echo copy V D C P	Q P S J M M J O M Q P Y F R P V D C P P
prepend V F W , prepend copy Y D J , copy shift copy P J M W	J M W P Y D J V F W
echo prepend U L N , reverse J X D R	R D X J U L N N
append S Y J Y S , shift prepend echo reverse T M P U B , append echo V X J J , V P L Q	S Y J Y S X J J J V P L Q B U P M T T V
prepend append echo reverse reverse I E K T , shift copy N Y S U , echo N S P	N S P P I E K T T Y S U N
echo copy F P P X	F P P X X
append shift reverse copy C J Q T W , reverse B Q L D	T Q J C W D L Q B
prepend E M G R , shift reverse reverse I B W W	B W W I E M G R
copy append echo echo V E V L X , append reverse copy copy R X Q Y G , reverse Z E W U	V E V L X X X G Y Q X R U W E Z
reverse prepend copy F Q P X , echo K K J T P	X P Q F P P T J K K
prepend copy M I N , copy shift E J A	J A E M I N
copy append echo B A O L , prepend Z U R L D , copy U E Q C	B A O L L U E Q C Z U R L D
reverse prepend echo E O P H D , copy copy prepend shift reverse G Z O S R , echo append V U V P , T N I	D D H P O E R G Z O S I I N T P V U V
reverse append append reverse echo V R Y , copy I Q O G Z , Z R D	D R Z Z G O Q I V R Y Y
copy echo append copy echo Q V P , reverse L B V	Q V P P V B L L
append reverse I W O C L , copy copy append shift Y S F V E , X X T C	L C O W I S F V E Y X X T C
reverse copy prepend shift shift T M T O H , shift L C B M	M T H O T L M B C
echo echo echo T P W G J	T P W G J J J J
prepend shift reverse copy reverse C M T L , append shift S U I M D , echo reverse append append S N I E , W Q C P A , V F T E G	U I M D S G E T F V A P C Q W E I N S S M T L C
prepend prepend reverse prepend copy reverse K W B Q , copy I T U Y Z , copy reverse shift H H G R I , P S T C	P S T C H I R G H K W B Q Z Y U T I
append copy X L X H , append echo N Z W Q , prepend shift L L W J B , echo P H R Y	X L X H N Z W Q Q P H R Y Y L W J B L
shift copy echo prepend S U F H S , shift C W S K	S K C S U F H S S W
append echo reverse shift C T K N S , reverse reverse shift shift I W S I W	C S N K T T S I W I W
append shift copy shift K B V , L W R	V K B L W R
copy append copy reverse shift M Y H J , reverse append shift copy copy copy V X W C , prepend shift C Z C , copy copy echo F I K B	M J H Y C C Z B B K I F V C W X
append copy echo A F P P A , O F E K	A F P P A A O F E K
append echo copy reverse copy shift prepend H E A T C , P D J P O , echo O W G H P	P C T A E H O P J D D O W G H P P
shift copy append L U E , H O T P	U E H O T P L
shift echo copy prepend copy echo W G N D , copy V D K Y Z	D K Y Z W G N D D D V
append copy copy G F Q , I M F	G F Q I M F
append shift K W Q I B , echo echo echo echo J S W Q F	W Q I B K J S W Q F F F F F
prepend X H N Z , append shift echo O K W , copy T S P X S	K W W O T S P X S X H N Z
copy copy shift append T U P B D , shift M P Y X	U P B D P Y X M T
append reverse echo copy shift copy S N P Y , prepend shift prepend reverse prepend U W W R K , shift S F L J B , copy reverse copy echo reverse B X R B Y , shift reverse echo M G O T Y	S S Y P N Y T O G M Y B X R B Y K R W W U S B J L F B
echo prepend echo echo echo Q C K T T , J J Z J	J J Z J Q C K T T T T T T
prepend copy reverse shift copy Q G P X , shift prepend S A Z , reverse R U P	U R S A Z P Q X P G
echo echo prepend D X L , shift T Z K I Z	Z K I Z T D X L L L
append reverse copy append reverse echo L P G K , copy copy reverse S H Y Y K , prepend append reverse F W D K P , copy reverse echo V U U O , copy echo D W E M L	S H Y Y K L P G K K D W E M L L P K D W F O O U U V
prepend reverse G T C , reverse F J O	O J F C T G
echo reverse copy append shift U A P , shift F P B	F B P U P A A
append H S I P , shift shift echo prepend W E H J O , Z P X L	H S I P X L W E H J O O Z P
reverse prepend reverse T C W S P , Z F A F	T C W S P F A F Z
reverse shift Y N E	Y E N
prepend shift shift echo N W H C , append N H X O , P U U U	N H X O P U U U H C C N W
append reverse E Y E , append copy copy shift reverse N X E I F , reverse E K Z L I	E Y E I E X N F I L Z K E
reverse shift I F C	I C F
append echo prepend echo append shift reverse reverse Y A P S J , Z Z C W , copy copy echo copy V Y V H V , echo echo copy copy copy copy U L N B F	V Y V H V V A P S J Y Z Z C W W W U L N B F F F
append echo append H N M F T , reverse S Y K V L , shift W N E G G	H N M F T L V K Y S S N E G G W
reverse shift reverse C H U U X	X C H U U
append copy copy Y E S O , copy append copy Y L H M I , L A A M X	Y E S O Y L H M I L A A M X
prepend P V Z , shift copy N G D	G D N P V Z
copy prepend copy copy reverse W R T W K , reverse reverse copy Z Z A	Z Z A K W T R W
prepend copy prepend reverse echo reverse shift M G K I P , L O H Y I , echo copy copy B C J	B C J J L O H Y I G G K I P M
echo copy prepend X E C I E , prepend shift echo Y W S L , shift echo reverse I B V	B I I V W S L L Y X E C I E E
prepend reverse copy N Q D L D , A N F	A N F D L D Q N
echo append shift prepend C D H I , copy reverse reverse S O V T , shift shift copy copy echo copy prepend reverse J Q I , E R J O	O V T C D H I S J O I Q J J E R R
shift shift append D O Q , prepend echo reverse G R Y A , append copy T H R Y , R S Y Z	Q T H R Y R S Y Z A Y R G G D O
prepend T P P O U , shift append S P P L D , M N O W	P P L D M N O W S T P P O U
reverse append echo copy append echo copy append echo copy S G V Z , reverse B Z M I H , reverse copy echo copy reverse shift L V Z J , shift copy W D L V	W V L D L L J Z V V B B Z M I H Z Z V G S
append copy A Z D X X , copy L V B F H	A Z D X X L V B F H
echo prepend C P W , copy G R N H	G R N H C P W W
prepend D Z R X , append Q O E H V , prepend copy copy A G J T , echo copy P L M R	Q O E H V P L M R R A G J T D Z R X
echo append reverse copy A H J E J , prepend U O D W , copy U I X A	J E J H A U I X A U O D W W
append shift shift I F V U S , copy reverse B A V P Z	V U S I F Z P V A B
append Q H M D O , prepend reverse reverse shift reverse S X F N N , echo V Q U G I	Q H M D O V Q U G I I N F X S N
copy prepend reverse shift C H Y V M , copy prepend reverse copy G J P A , echo echo Y R A H W	Y R A H W W W A P J G C M V Y H
append append F I N X E , append shift P H H U E , shift N V H S U , reverse copy echo I A R Q	F I N X E H H U E P V H S U N Q Q R A I
append reverse Q U W B U , shift reverse S U S	U B W U Q U S S
append copy reverse K L P X F , shift echo B B L D P	F X P L K B L D P P B
prepend reverse append copy shift E H Z K , shift echo Y M W O R , shift echo echo L R L T O	R L T O O O L Y R R O W M E K Z H
append echo echo append K B K Q Y , R P I D P , append N G S L G , shift W B U M	K B K Q Y R P I D P P P N G S L G B U M W
shift copy append D R Z M F , copy reverse G K F	R Z M F F K G D
prepend copy shift M J D I K , append prepend prepend N C P D X , B D V D H , echo copy R A D Z D , shift echo echo A L O G D	R A D Z D D B D V D H N C P D X L O G D D D A J D I K M
echo copy reverse J Y X F W	W F X Y J J
prepend copy reverse K B D Y , copy echo echo reverse E E J I V	V I J E E E E Y D B K
prepend S W I N G , append copy X E L F , M B W Z	X E L F M B W Z S W I N G
